What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Ivan Gunawan,Female,Hukum,HTN,"Hukum Bisnis, Kontrak, Korporasi","MS Word, Legal Research, Presentasi",6.94,No,NA,Yes,Jaksa,NA
Krisna Bayu,Female,Kedokteran,Spesialis Bedah,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",9.48,Yes,ATLS,No,NA,Spesialis Anak
Nita Anggraini,Male,Farmasi,Farmasi Industri,"Industri Farmasi, Produksi, QC","Penelitian, Laboratorium, Analisis",6.52,Yes,,No,NA,NA
Citra Dewi,Female,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",8.12,Yes,,No,NA,NA
Sari Indah,Male,Pendidikan,Pendidikan Matematika,"Teknologi Pendidikan, E-Learning","E-Learning, LMS, Canva, Presentasi",8.15,Yes,TEFL,Yes,,Magister Pendidikan
Wahyu Nugroho,Female,Sistem Informasi,Enterprise System,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",7.92,Yes,SAP Certified,No,NA,NA
Dita Maharani,Female,Akuntansi,Akuntansi Keuangan,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",7.47,Yes,NA,Yes,Cost Accountant,NA
Ivan Gunawan,Female,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","MS Word, Legal Research, Presentasi",7.64,Yes,Legal Drafting Certification,No,NA,NA
Eko Wahyudi,Female,Hukum,Hukum Pidana,"Hukum Internasional, Diplomasi","MS Word, Legal Research, Presentasi",6.78,No,NA,No,,NA
Sari Indah,Male,Psikologi,Psikologi Sosial,"Penelitian, Asesmen, Psikometri","HR Management, Rekrutmen, Training",9.13,Yes,HRBP Certification,No,NA,NA
Ragil Saputro,Male,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",6.85,Yes,Remote Sensing Cert,Yes,Peneliti Kelautan,Magister Ilmu Kelautan
Fitri Handayani,Female,B.Tech,Civil,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",9.74,No,NA,No,NA,NA
Fara Aulia,Male,Hukum,HTN,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",6.76,Yes,PERADI,No,,NA
Yogi Permana,Male,Peternakan,Kesehatan Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Pengolahan Daging, Susu, Telur",7.76,No,NA,Yes,Peternak Profesional,Magister Peternakan
Lisa Amelia,Female,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",9.26,No,NA,No,NA,NA
Zara Nabila,Female,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",6.47,Yes,Lean Six Sigma Green Belt,No,NA,NA
Julia Permata,Female,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Remote Sensing, Citra Satelit, Analisis",7.8,No,NA,No,NA,
Shinta Dewi,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",7.86,Yes,NA,No,NA,NA
Wahyu Nugroho,Male,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",8.95,Yes,Sertifikasi Notaris,No,NA,NA
Fitri Handayani,Female,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Public Speaking, Media Relations, Canva",8.21,Yes,PR Certification,No,NA,NA
Fitri Handayani,Male,B.Sc,Statistics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",7.17,No,NA,No,NA,NA
Vino Pratama,Female,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","AutoCAD, Visio, Lean Six Sigma",9.08,Yes,PMP,No,NA,
Jeni Kurniawan,Male,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",8.68,Yes,TOEFL 600+,No,NA,MA Linguistics
Vino Pratama,Female,Psikologi,Psikologi Sosial,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",6.92,Yes,Sertifikasi Psikolog,Yes,Konselor,NA
Jeni Kurniawan,Female,Hukum,Hukum Pidana,"Hukum Internasional, Diplomasi","MS Word, Legal Research, Presentasi",6.6,No,NA,No,NA,NA
Cahyo Wibowo,Female,B.Sc,Statistics,"Data Science, Analytics, AI","Data Analysis, Machine Learning, SQL",6.58,Yes,Data Science Certification,Yes,,NA
Evan Setiawan,Female,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",8.21,Yes,STCW,Yes,Offshore Engineer,NA
Yoga Aditya,Male,Sistem Informasi,E-Business,"Sistem Informasi, ERP, Business Analysis","Python, Tableau, Power BI, SQL",8.31,No,NA,No,NA,NA
Hana Sari,Female,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",8.81,Yes,,Yes,Dokter Spesialis,NA
Tegar Wicaksono,Female,BA,English,"Writing, Communication, Media","Communication, Writing, Research",6.06,No,NA,Yes,Social Worker,NA
Shinta Dewi,Male,Ilmu Komunikasi,Periklanan,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",6.2,No,NA,Yes,Copywriter,NA
Andi Pratama,Male,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",6.91,Yes,PMP,No,NA,MBA IT
Kevin Surya,Male,Desain Komunikasi Visual,Fotografi,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",6.89,No,NA,Yes,Motion Designer,Masters in UX
Kevin Surya,Female,B.Com,Economics,"Finance, Accounting, Business","MS Excel, PowerPoint, Business Analysis",8.76,Yes,Tally Certification,No,NA,Masters in Accounting
Nita Anggraini,Female,Peternakan,Produksi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",8.19,Yes,Sertifikasi Penyuluh Peternakan,No,NA,Magister Peternakan
Ulfah Rahmawati,Male,Ilmu Komunikasi,Jurnalistik,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",7.25,Yes,Content Writing,Yes,Social Media Specialist,NA
Lisa Amelia,Female,Ekonomi Pembangunan,Ekonomi Internasional,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",6.96,Yes,CFA Level 1,Yes,Peneliti Ekonomi,NA
Omar Hakim,Female,Perkapalan,Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",9.17,Yes,STCW,Yes,Surveyor Kapal,NA
Nita Anggraini,Female,BA,Sociology,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",6.69,Yes,Content Writing Certification,Yes,HR Executive,
Petra Wijaya,Female,Ekonomi Pembangunan,Perencanaan Pembangunan,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",8.45,No,,Yes,Perencana Pembangunan,Masters in Economics
Dita Maharani,Male,B.Sc,Statistics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",9.47,No,NA,No,NA,Masters in Mathematics
Nina Kusuma,Male,B.Sc,Mathematics,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",7.97,Yes,R Programming,Yes,Electronics Engineer,NA
Dita Maharani,Female,Peternakan,Produksi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.87,No,NA,Yes,Peneliti Ternak,NA
Xena Pratiwi,Female,Desain Komunikasi Visual,Animasi,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",8.13,Yes,NA,No,NA,NA
Citra Dewi,Female,Kelautan,Ilmu Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",9.58,No,NA,Yes,,Magister Ilmu Kelautan
Reza Mahendra,Male,Perikanan,Budidaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Pengolahan Ikan, HACCP, Food Safety",7.21,Yes,HACCP Certification,No,NA,Magister Perikanan
Nina Kusuma,Male,Ekonomi Pembangunan,Ekonomi Internasional,"Moneter, Perbankan, Keuangan Publik","Ekonometrika, SPSS, Eviews, Analisis",7.71,Yes,,Yes,,NA
Bella Safira,Female,Teknik Industri,Teknik Produksi,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",8.35,Yes,SAP MM,Yes,Quality Engineer,Masters in Supply Chain
Julia Permata,Male,Psikologi,Psikologi Sosial,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",8.34,Yes,HRBP Certification,No,NA,NA
Krisna Bayu,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",7.39,No,NA,Yes,Guru Bahasa Inggris,NA
Jeni Kurniawan,Male,Akuntansi,Akuntansi Manajemen,"Akuntansi, Perpajakan, Keuangan","MS Excel, Pivot, Financial Reporting",8.8,No,NA,Yes,Akuntan,NA
Petra Wijaya,Male,Hubungan Internasional,Organisasi Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Analisis Politik, Riset, Laporan",8.41,No,NA,Yes,Konsultan Internasional,MA Diplomasi
Hana Sari,Male,B.Sc,Physics,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",9.21,No,NA,Yes,,Masters in Mathematics
Nina Kusuma,Male,Farmasi,Farmakologi,"Penelitian, Farmakologi, Drug Discovery","QC, QA, GMP, HPLC",8.56,Yes,STRA Apoteker,No,NA,Masters in Pharmacology
Reza Mahendra,Male,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Bahasa Inggris, Bahasa Asing, Negosiasi",6.71,No,NA,No,NA,Masters in International Relations
Galih Purnomo,Male,Sistem Informasi,E-Business,"Database, Data Management, BI","PHP, MySQL, Web Development",7.97,Yes,PMP,No,NA,Masters in Information Systems
Vino Pratama,Male,Sistem Informasi,Sistem Informasi Bisnis,"Database, Data Management, BI","PHP, MySQL, Web Development",7.3,No,NA,Yes,ERP Consultant,NA
Jeni Kurniawan,Female,B.Com,Commerce,"Finance, Accounting, Business","MS Excel, PowerPoint, Business Analysis",9.14,Yes,Tally Certification,No,NA,NA
Vina Melati,Female,Hubungan Internasional,Studi Keamanan,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",6.93,Yes,IELTS 7.0+,No,NA,NA
Kevin Surya,Female,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",9.32,Yes,Sertifikasi Perencana,No,NA,Masters in Economics
Taufik Hidayat,Female,Teknik Elektro,Telekomunikasi,"Elektronika, Embedded Systems, IoT","Arduino, Raspberry Pi, C++, IoT",6.41,Yes,Sertifikasi BNSP Elektro,No,NA,NA
Yogi Permana,Female,Perikanan,Manajemen Sumberdaya Perairan,"Manajemen Sumber Daya, Konservasi","GIS, Pemetaan Perairan, Analisis",7.59,No,NA,Yes,Peneliti Perikanan,NA
Wulan Sari,Male,Teknik Elektro,Telekomunikasi,"Tenaga Listrik, Energi Terbarukan","Arduino, Raspberry Pi, C++, IoT",8.82,Yes,Cisco CCNA,Yes,IoT Engineer,NA
Putri Ayu,Female,Ilmu Komunikasi,Penyiaran,"Jurnalistik, Media, Penulisan Berita","Social Media, Content Creation, SEO",8.57,No,NA,No,NA,NA
Petra Wijaya,Male,Pendidikan,Bimbingan Konseling,"Mengajar, Kurikulum, Pendidikan","Bimbingan, Konseling, Komunikasi",7.96,Yes,TEFL,No,NA,
Cahyo Wibowo,Female,Kedokteran,Spesialis Anak,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",7.48,No,NA,Yes,Dokter Puskesmas,Masters in Public Health
Lisa Amelia,Male,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",7.76,Yes,NA,Yes,Civil Engineer,Masters in Engineering
Tegar Wicaksono,Male,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",7.57,No,NA,Yes,Product Manager,NA
Yoga Aditya,Female,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",7.98,Yes,Digital Marketing Google,Yes,Business Analyst,NA
Omar Hakim,Male,Kedokteran,Kedokteran Umum,"Klinik, Pasien, Diagnosis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.01,No,NA,Yes,Peneliti Medis,
Putri Ayu,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",7.55,Yes,IELTS 7.0+,No,,MA Linguistics
Citra Dewi,Female,BA,Sociology,"Writing, Communication, Media","Communication, Writing, Research",5.9,Yes,Digital Marketing,No,NA,
Taufik Hidayat,Female,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",8.81,Yes,STCW,No,NA,Masters in Naval Architecture
Nina Kusuma,Male,Pendidikan,Bimbingan Konseling,"Mengajar, Kurikulum, Pendidikan","Mengajar, RPP, Kurikulum Merdeka",8.33,Yes,NA,No,NA,NA
Wahyu Nugroho,Male,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",8.46,No,NA,Yes,,
Hana Sari,Male,Pertanian,Hortikultura,"Agribisnis, Wirausaha, Pasar Tani","Budidaya Tanaman, Analisis Tanah, GIS",7.17,Yes,Sertifikasi Penyuluh Pertanian,Yes,Agribisnis Manager,NA
Yogi Permana,Male,Desain Komunikasi Visual,Desain Grafis,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",7.19,Yes,Google UX Design,Yes,Motion Designer,NA
Petra Wijaya,Male,BCA,Information Technology,"Programming, Web Development, Software","C++, Data Structures, Algorithms",8.02,No,NA,No,,NA
Ulfah Rahmawati,Female,Ekonomi Pembangunan,Ekonomi Moneter,"Ekonomi, Kebijakan, Pembangunan","MS Excel, Statistik, Data Analysis",8.4,No,NA,Yes,Analis Kebijakan,NA
Kevin Surya,Female,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",9.35,No,NA,No,NA,Masters in Pharmacology
Taufik Hidayat,Male,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",6.39,Yes,PR Certification,Yes,Social Media Specialist,NA
Ulfah Rahmawati,Female,Sastra Inggris,Penerjemahan,"Penerjemahan, Bahasa, Linguistik","Penerjemahan, Bahasa Inggris, Riset",8.88,Yes,IELTS 7.0+,Yes,Editor,
Ragil Saputro,Male,BCA,Information Technology,"Data Science, AI, Machine Learning","Python, Java, SQL",6.84,No,NA,Yes,Mobile Developer,NA
Reza Mahendra,Female,Kedokteran,Spesialis Bedah,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.79,Yes,ACLS,Yes,Dokter Umum,Spesialis Bedah
Sari Indah,Male,Perikanan,Manajemen Sumberdaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Pengolahan Ikan, HACCP, Food Safety",8.09,No,,No,NA,
Dian Rahayu,Male,Sistem Informasi,Enterprise System,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",8.61,No,NA,No,NA,NA
Fitri Handayani,Female,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",8.05,No,NA,No,NA,NA
Qori Annisa,Female,Hubungan Internasional,Politik Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",9.34,No,NA,No,,NA
Dita Maharani,Male,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",8.01,Yes,NA,Yes,Content Writer,Masters in Translation
Putri Ayu,Male,Hubungan Internasional,Politik Internasional,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",7.56,No,NA,No,NA,NA
Vino Pratama,Female,B.Sc,Mathematics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",7.71,Yes,,Yes,Statistician,NA
Yoga Aditya,Female,Perkapalan,Teknik Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Marine Engineering, Pemeliharaan Kapal",6.23,Yes,Class NK Certification,Yes,Marine Engineer,NA
Nina Kusuma,Female,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","Perpajakan, e-SPT, Brevet",7.1,No,NA,No,NA,Masters in Accounting
Dian Rahayu,Female,Kedokteran,Kedokteran Umum,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",8.62,No,NA,Yes,Dokter Gigi,Spesialis Bedah
Yoga Aditya,Female,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",6.72,Yes,HACCP Certification,Yes,Teknolog Pangan Perikanan,NA
Qirana Putri,Male,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Diagnosis, Anamnesis, Pemeriksaan Fisik",8.88,Yes,,No,NA,Spesialis Anak
Miko Prasetyo,Female,Perikanan,Manajemen Sumberdaya Perairan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",7.44,No,NA,No,NA,
Ulfah Rahmawati,Male,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",8.02,Yes,,No,NA,NA
Ulfah Rahmawati,Female,BA,Political Science,"Public Policy, Law, Governance","Communication, Writing, Research",7.44,Yes,Digital Marketing,No,NA,
Ivan Gunawan,Male,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","After Effects, Premiere Pro, Animasi",9.17,No,NA,No,NA,NA
Shinta Dewi,Female,BCA,Software Development,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",6.7,No,NA,Yes,Mobile Developer,Masters in Data Science
Irfan Maulana,Male,B.Sc,Statistics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",8.28,No,NA,No,NA,Masters in Data Science
Cahyo Wibowo,Female,Peternakan,Nutrisi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",6.8,Yes,NA,Yes,Quality Control Produk Ternak,Masters in Animal Science
Agus Salim,Female,Perkapalan,Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",8.69,Yes,Class NK Certification,No,NA,Magister Teknik Perkapalan
Evan Setiawan,Female,Sistem Informasi,Enterprise System,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",6.86,No,,No,NA,
Yoga Aditya,Female,Ilmu Komunikasi,Komunikasi Digital,"Digital Marketing, Social Media, Konten","Penulisan, Editing, Wawancara",6.34,No,NA,No,NA,
Leni Susanti,Female,Pertanian,Hortikultura,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",6.85,Yes,Smart Farming Cert,Yes,,
Ragil Saputro,Female,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",7.1,Yes,AWS Solutions Architect,Yes,IoT Developer,Masters in Computer Science
Omar Hakim,Male,Hubungan Internasional,Diplomasi,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",6.9,Yes,TOEFL 600+,Yes,Staf Kedutaan,NA
Yogi Permana,Female,Hukum,Hukum Bisnis,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",8.65,No,NA,Yes,,NA
Lisa Amelia,Female,Hukum,Hukum Perdata,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",8.08,Yes,NA,Yes,Legal Officer,NA
Qori Annisa,Male,Perikanan,Budidaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",7.94,No,,No,NA,NA
Yoga Aditya,Female,Peternakan,Nutrisi Ternak,Teknologi Pengolahan Hasil Ternak,"Formulasi Pakan, Nutrisi, Lab",9.08,Yes,NA,No,NA,NA
Ivan Gunawan,Male,B.Sc,Mathematics,"Data Science, Analytics, AI","Research, Lab Skills, Report Writing",9.03,No,NA,Yes,Electronics Engineer,
Fitri Handayani,Female,Pertanian,Ilmu Tanah,"Pertanian, Budidaya, Agronomi","Agribisnis, Manajemen Usaha Tani",8.66,No,NA,Yes,Penyuluh Pertanian,NA
Omar Hakim,Female,B.Tech,Mechanical,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",7.71,Yes,Google Cloud Professional,Yes,,Masters in AI
Fara Aulia,Female,Kedokteran,Kedokteran Umum,"Klinik, Pasien, Diagnosis","Tindakan Medis, Jahit Luka, Infus",7.16,Yes,Sertifikasi Spesialis,Yes,Dokter Spesialis,NA
Leni Susanti,Male,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",6.51,Yes,NA,Yes,,Masters in Marine Science
Dita Maharani,Male,B.Tech,Civil,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",6.45,Yes,AWS Solutions Architect,Yes,Civil Engineer,NA
Hana Sari,Male,Desain Komunikasi Visual,Desain UI/UX,"Desain Grafis, Branding, Visual","Adobe Illustrator, Photoshop, InDesign",8.08,No,,Yes,Graphic Designer,NA
Kevin Surya,Female,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",6.94,No,,Yes,,NA
Petra Wijaya,Female,Perikanan,Sosial Ekonomi Perikanan,"Manajemen Sumber Daya, Konservasi","Pengolahan Ikan, HACCP, Food Safety",8.35,Yes,Sertifikasi Akuakultur,No,NA,NA
Miko Prasetyo,Male,BCA,Software Development,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",9.64,No,,No,NA,NA
Gilang Ramadhan,Female,Pendidikan,Bimbingan Konseling,"Teknologi Pendidikan, E-Learning","Mengajar, RPP, Kurikulum Merdeka",7.99,Yes,Kurikulum Merdeka,Yes,Konselor Sekolah,Masters in Education
Kevin Surya,Male,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",7.0,No,NA,No,NA,NA
Vino Pratama,Male,B.Tech,Civil,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",9.06,No,NA,Yes,Software Engineer,NA
Ulfa Nuraini,Male,Peternakan,Produksi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.33,No,NA,Yes,Penyuluh Peternakan,Masters in Animal Science
Nina Kusuma,Female,BA,Psychology,"Psychology, Counseling, HR","MS Office, Content Writing, SEO",6.0,Yes,,No,NA,
Hana Sari,Female,BA,Political Science,"Psychology, Counseling, HR","Communication, Writing, Research",8.31,Yes,HR Certification,Yes,Journalist,
Fara Aulia,Male,Pendidikan,Bimbingan Konseling,"Bimbingan Konseling, Psikologi Pendidikan","Bimbingan, Konseling, Komunikasi",7.39,No,NA,Yes,Konselor Sekolah,NA
Krisna Bayu,Male,BA,Political Science,"Writing, Communication, Media","Communication, Writing, Research",9.17,Yes,NA,No,NA,
Putri Ayu,Male,Sastra Inggris,Linguistik,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",7.42,Yes,IELTS 7.0+,No,NA,
Taufik Hidayat,Male,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Pengolahan Daging, Susu, Telur",7.98,No,NA,No,NA,NA
Tegar Wicaksono,Male,Ilmu Komunikasi,Jurnalistik,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",7.17,Yes,Content Writing,No,NA,NA
Ragil Saputro,Male,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","SAP, Accurate, Jurnal Akuntansi",7.85,No,NA,Yes,Akuntan,NA
Petra Wijaya,Male,Manajemen,Manajemen Pemasaran,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",6.84,Yes,NA,Yes,Business Analyst,NA
Dian Rahayu,Male,Hukum,Hukum Bisnis,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.65,Yes,NA,No,NA,NA
Mohammad Rizki,Female,B.Sc,Mathematics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",9.32,No,,Yes,Data Scientist,Masters in Mathematics
Hesti Ratnasari,Male,Akuntansi,Perpajakan,"Audit, Compliance, Internal Control","Perpajakan, e-SPT, Brevet",7.95,Yes,SAP FICO,No,NA,NA
Budi Santoso,Male,B.Sc,Electronics,"Physics, Research, Innovation","Data Analysis, Machine Learning, SQL",7.52,No,NA,No,NA,NA
Dita Maharani,Female,Ilmu Komunikasi,Komunikasi Digital,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",6.6,No,NA,Yes,Social Media Specialist,
Sari Indah,Female,Teknik Industri,Manajemen Operasi,"Quality Control, Six Sigma, Kaizen","AutoCAD, Visio, Lean Six Sigma",8.56,No,NA,Yes,,MBA Operations
Cahyo Wibowo,Female,BA,Sociology,"Writing, Communication, Media","Communication, Writing, Research",7.58,Yes,HR Certification,No,NA,MBA HR
Budi Santoso,Female,B.Tech,Mechanical,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",9.62,Yes,AWS Solutions Architect,No,NA,NA
Qirana Putri,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Moneter, Perbankan, Keuangan Publik","MS Excel, Statistik, Data Analysis",6.39,No,,Yes,Analis Kebijakan,Masters in Public Policy
Fitri Handayani,Female,Teknik Industri,Teknik Produksi,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",6.7,Yes,CPIM,Yes,Industrial Engineer,NA
Mohammad Rizki,Female,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",7.89,Yes,CBAP,No,NA,NA
Taufik Hidayat,Female,Teknik Industri,Teknik Produksi,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",9.2,No,NA,No,NA,NA
Agus Salim,Male,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",7.09,No,,Yes,Konservasi Spesialis,NA
Lisa Amelia,Female,Teknik Elektro,Tenaga Listrik,"Elektronika, Embedded Systems, IoT","Arduino, Raspberry Pi, C++, IoT",9.16,No,NA,No,NA,Masters in Telecommunication
Oscar Firmansyah,Male,Ilmu Komunikasi,Jurnalistik,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",7.05,No,NA,Yes,Content Creator,NA
Hana Sari,Female,B.Com,Business Studies,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",8.61,No,NA,No,NA,NA
